facet_id,facet_name,category,subcategory,description,inferability,evidence_type
1,Risktaking,Personality,Sensation/Adventure,Indicates tendency to seek novel or risky experiences and take actions with potential negative consequences.,medium,behavioral
2,Naivety,General,,Measures indications or behaviors related to Naivety.,medium,behavioral
3,Acidity,General,,Measures indications or behaviors related to Acidity.,medium,behavioral
4,Democratic Leadership,Leadership,Styles,"Indicates leadership behaviors such as delegation, decision-making, and influence in group settings.",medium,behavioral
5,Common-sense,General,,Measures indications or behaviors related to Common-sense.,medium,behavioral
6,Hesitation,General,,Measures indications or behaviors related to Hesitation.,medium,behavioral
7,Discontentment,General,,Measures indications or behaviors related to Discontentment.,medium,behavioral
8,Overprotectiveness,General,,Measures indications or behaviors related to Overprotectiveness.,medium,behavioral
9,Merriness,General,,Measures indications or behaviors related to Merriness.,medium,behavioral
10,Emotionalism,General,,Measures indications or behaviors related to Emotionalism.,medium,behavioral
11,Self-improvement,General,,Measures indications or behaviors related to Self-improvement.,medium,behavioral
12,Statistical Reasoning,General,,Measures indications or behaviors related to Statistical Reasoning.,medium,behavioral
13,Assertiveness and control in relationships,General,,Measures indications or behaviors related to Assertiveness and control in relationships.,medium,behavioral
14,Cunningness,General,,Measures indications or behaviors related to Cunningness.,medium,behavioral
15,Adventure-Seeking Behavior,Personality,Sensation/Adventure,Indicates tendency to seek novel or risky experiences and take actions with potential negative consequences.,medium,behavioral
16,Compassion Fatigue,Personality,Prosocial,"Indicates prosocial tendencies such as empathy, concern for others, and social awareness.",high,behavioral
17,Moroseness,General,,Measures indications or behaviors related to Moroseness.,medium,behavioral
18,Specialist,General,,Measures indications or behaviors related to Specialist.,medium,behavioral
19,Aloofness,General,,Measures indications or behaviors related to Aloofness.,medium,behavioral
20,Genuine,General,,Measures indications or behaviors related to Genuine.,medium,behavioral
21,Determinedness,General,,Measures indications or behaviors related to Determinedness.,medium,behavioral
22,HonestyHumility,General,,Measures indications or behaviors related to HonestyHumility.,medium,behavioral
23,Relationship Building Themes,General,,Measures indications or behaviors related to Relationship Building Themes.,medium,behavioral
24,Pure Challenge,General,,Measures indications or behaviors related to Pure Challenge.,medium,behavioral
25,Numerical Reasoning Subcomponents,Cognitive,Ability,"Relates to general cognitive ability, reasoning, and problem-solving skills; often not directly inferable from conversation.",low,cognitive
26,Openness,General,,Measures indications or behaviors related to Openness.,medium,behavioral
27,SelfEsteem,General,,Measures indications or behaviors related to SelfEsteem.,medium,behavioral
28,Comparing alphanumeric data,General,,Measures indications or behaviors related to Comparing alphanumeric data.,medium,behavioral
29,Big-heartedness,General,,Measures indications or behaviors related to Big-heartedness.,medium,behavioral
30,Compulsive activities,General,,Measures indications or behaviors related to Compulsive activities.,medium,behavioral
